project_id,role,question,priority,skill
2026-12-EXA,volunteer_integrity_accuracy,tools,core,rstats
2026-12-EXA,volunteer_integrity_accuracy,tools,core,git
2026-12-EXA,volunteer_integrity_accuracy,tools,core,shiny
2026-12-EXA,shiny_dev_flourish_uiux,tools,core,rstats
2026-12-EXA,shiny_dev_flourish_uiux,tools,core,git
2026-12-EXA,shiny_dev_flourish_uiux,tools,core,shiny
2026-12-EXA,shiny_dev_flourish_uiux,tools,core,css
2026-12-EXA,team_coordinator,tools,core,github_projects_issues
2026-12-EXA,team_trainee,tools,core,rstats
2026-12-EXA,team_trainee,tools,core,shiny
2026-12-EXA,team_trainee,tools,core,git
2026-12-TES,shiny_dev_code_dataflows,tools,core,rstats
2026-12-TES,shiny_dev_code_dataflows,tools,core,git
2026-12-TES,shiny_dev_code_dataflows,tools,core,shiny
2026-12-TES,shiny_dev_code_dataflows,tools,core,css
2026-12-TES,team_trainee,tools,core,rstats
2026-12-TES,team_trainee,tools,core,shiny
2026-12-TES,team_trainee,tools,core,git
2026-12-TES,team_coordinator,tools,core,github_projects_issues
2026-12-EXA,volunteer_integrity_accuracy,techtop,core,survey_research
2026-12-EXA,volunteer_integrity_accuracy,techtop,core,survey_statistics
2026-12-EXA,shiny_dev_flourish_uiux,techtop,core,data_visualization
2026-12-EXA,shiny_dev_flourish_uiux,techtop,core,ux
2026-12-EXA,shiny_dev_flourish_uiux,techtop,core,survey_statistics
2026-12-EXA,team_coordinator,techtop,core,project_management
2026-12-EXA,team_coordinator,techtop,core,working_agile
2026-12-EXA,team_trainee,techtop,core,ux
2026-12-EXA,team_trainee,techtop,core,ux_design
2026-12-EXA,team_trainee,techtop,core,data_visualization
2026-12-TES,shiny_dev_code_dataflows,techtop,core,ux
2026-12-TES,shiny_dev_code_dataflows,techtop,core,database_management
2026-12-TES,shiny_dev_code_dataflows,techtop,core,devops
2026-12-TES,shiny_dev_code_dataflows,techtop,core,survey_statistics
2026-12-TES,team_trainee,techtop,core,ux
2026-12-TES,team_trainee,techtop,core,ux_design
2026-12-TES,team_trainee,techtop,core,data_visualization
2026-12-TES,team_coordinator,techtop,core,project_management
2026-12-TES,team_coordinator,techtop,core,working_agile
2026-12-EXA,volunteer_integrity_accuracy,tools,nicetohave,crunch
2026-12-EXA,shiny_dev_flourish_uiux,tools,nicetohave,crunch
2026-12-EXA,shiny_dev_flourish_uiux,tools,nicetohave,flourish
2026-12-EXA,team_coordinator,tools,nicetohave,trello
2026-12-TES,shiny_dev_code_dataflows,tools,nicetohave,crunch
2026-12-TES,shiny_dev_code_dataflows,tools,nicetohave,flourish
2026-12-TES,team_coordinator,tools,nicetohave,trello
2026-12-EXA,volunteer_integrity_accuracy,techtop,nicetohave,data_cleaning
2026-12-EXA,volunteer_integrity_accuracy,techtop,nicetohave,software_testing
2026-12-EXA,shiny_dev_flourish_uiux,techtop,nicetohave,apis
2026-12-EXA,shiny_dev_flourish_uiux,techtop,nicetohave,working_agile
2026-12-EXA,shiny_dev_flourish_uiux,techtop,nicetohave,software_development
2026-12-EXA,shiny_dev_flourish_uiux,techtop,nicetohave,dashboard_development
2026-12-EXA,team_coordinator,techtop,nicetohave,team_coordination
2026-12-EXA,team_coordinator,techtop,nicetohave,kanban
2026-12-EXA,team_coordinator,techtop,nicetohave,diversity
2026-12-EXA,team_trainee,techtop,nicetohave,dashboard_development
2026-12-EXA,team_trainee,techtop,nicetohave,software_development
2026-12-TES,shiny_dev_code_dataflows,techtop,nicetohave,apis
2026-12-TES,shiny_dev_code_dataflows,techtop,nicetohave,working_agile
2026-12-TES,shiny_dev_code_dataflows,techtop,nicetohave,software_development
2026-12-TES,shiny_dev_code_dataflows,techtop,nicetohave,dashboard_development
2026-12-TES,shiny_dev_code_dataflows,techtop,nicetohave,data_visualization
2026-12-TES,team_trainee,techtop,nicetohave,dashboard_development
2026-12-TES,team_trainee,techtop,nicetohave,software_development
2026-12-TES,team_coordinator,techtop,nicetohave,team_coordination
2026-12-TES,team_coordinator,techtop,nicetohave,kanban
2026-12-TES,team_coordinator,techtop,nicetohave,diversity
